Etiqueta,# Muestras,Media,Mediana,90% Line,95% Line,99% Line,Mín,Máx,% Error,Rendimiento,Kb/sec,Sent KB/sec
Petición HTTP,1666,2872,2455,4433,5744,12016,369,13921,0.000%,89.67113,26.01,15.24
Total,1666,2872,2455,4433,5744,12016,369,13921,0.000%,89.67113,26.01,15.24
